personal_id,timestamp,latitude,longitude
ID003,14:21:14,95,52
ID007,12:59:47,90,65
ID004,14:35:45,77,36
ID014,13:49:18,73,27
ID001,19:32:00,53,61
ID002,16:03:58,69,43
ID012,10:10:13,86,20
ID008,17:56:46,42,32
ID014,13:52:59,13,15
ID015,19:42:15,39,60
ID001,20:33:37,37,100
ID005,11:43:04,72,37
ID006,14:14:41,86,87
ID012,11:13:28,98,40
ID009,17:27:52,38,69
ID007,12:22:50,8,37
ID014,11:01:23,21,29
ID009,20:40:25,49,72
ID006,10:13:49,72,8
ID015,17:42:15,21,73
ID007,15:22:43,98,32
ID010,13:56:16,25,17
ID008,12:47:33,9,60
ID012,19:45:54,50,5
ID010,11:13:29,68,75
ID014,19:30:51,92,61
ID012,15:45:45,81,14
ID014,10:50:30,74,43
ID004,19:28:41,94,82
ID011,20:52:18,18,48
ID007,18:18:40,68,88
ID013,11:41:32,45,30
ID009,19:55:59,42,19
ID003,21:23:09,22,82
ID007,10:25:43,61,11
ID007,17:49:24,16,22
ID001,17:07:57,62,57
ID009,20:40:28,36,80
ID015,16:30:13,10,72
ID005,15:47:59,5,12
ID007,19:22:02,47,24
ID001,15:51:22,9,81
ID002,15:17:12,31,64
ID012,20:14:37,10,14
ID013,19:38:01,42,49
ID007,20:17:33,47,19
ID008,10:13:46,8,46
ID015,13:55:34,53,37
ID002,10:36:53,14,40
ID013,11:57:07,1,51
ID009,12:35:46,75,12
ID009,17:18:22,98,75
ID013,15:48:35,64,77
ID013,13:48:38,85,15
ID008,17:33:35,21,81
ID007,15:09:40,15,30
ID009,15:35:54,13,92
ID015,17:34:41,84,39
ID013,11:20:00,24,22
ID015,19:19:09,58,62
ID001,12:38:37,37,48
ID013,10:56:46,98,72
ID002,14:22:51,37,2
ID006,18:22:50,11,35
ID012,10:38:02,92,90
ID014,17:17:33,33,43
ID010,20:03:45,14,91
ID014,14:36:11,6,73
ID005,10:31:31,81,77
ID006,18:51:36,50,92
ID002,15:41:33,76,76
ID012,11:35:18,45,14
ID001,14:54:38,15,53
ID011,12:25:49,4,14
ID001,19:29:34,71,30
ID012,13:38:40,19,96
ID012,14:48:34,67,83
ID005,17:52:50,100,74
ID006,14:07:46,50,33
ID002,13:13:11,36,14
ID004,13:54:31,77,67
ID014,16:39:53,80,13
ID012,20:26:50,89,18
ID009,16:02:46,95,48
ID002,18:16:49,27,89
ID010,17:31:43,43,15
ID011,10:22:12,56,43
ID009,19:02:59,61,87
ID008,20:09:41,63,77
ID008,18:12:21,31,43
ID002,10:01:30,46,66
ID001,19:46:50,49,28
ID010,15:46:42,50,64
ID013,17:21:04,27,78
ID003,11:44:03,97,67
ID009,13:27:49,80,73
ID014,10:00:08,58,79
ID009,19:48:17,47,95
ID007,19:46:07,22,63
ID010,19:53:03,90,92
ID003,11:28:57,24,69
ID014,15:41:54,75,48
ID015,11:41:06,95,80
ID015,13:02:19,56,59
ID001,13:20:57,54,36
ID003,15:50:33,92,67
ID001,11:04:51,69,70
ID012,17:20:32,84,88
ID004,13:32:17,100,98
ID003,10:15:26,85,91
ID009,16:16:25,82,93
ID004,11:43:25,2,99
ID003,14:24:51,56,64
ID005,20:43:37,68,78
ID011,17:29:18,83,19
ID005,15:59:59,70,40
ID001,11:27:20,94,76
ID004,16:59:37,57,32
ID014,19:47:18,42,69
